song,performer,count,year
Glory Bound,The Grass Roots,10,1972
I Was Only Joking,Rod Stewart,12,1978
Girls Can Get It,Dr. Hook,9,1980
Partition,Beyonce,21,2014
Come On Little Angel,The Belmonts,14,1962
Come To Me,Marv Johnson,15,1959
Baby Come Close,Smokey Robinson,9,1974
Sleeping Satellite,Tasmin Archer,15,1993
All I Have To Do Is Dream,Richard Chamberlain,12,1963
That's That,Snoop Dogg Featuring R. Kelly,11,2007
Anymore,Teresa Brewer,16,1960
"Do What You Want, Be What You Are",Daryl Hall John Oates,6,1977
Burning Heart,Vandenberg,14,1983
Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne",22,2012
Cowboys Like Us,George Strait,13,2003
Bless You,Tony Orlando,12,1961
Put It In A Magazine,Sonny Charles,7,1983
Are You Gonna Kiss Me Or Not,Thompson Square,20,2011
Diary,Bread,11,1972
Out In The Country,Three Dog Night,11,1970
Shine On,L.T.D.,9,1981
Broken,lovelytheband,22,2018
Sugar On Sunday,The Clique,11,1969
So Yesterday,Hilary Duff,20,2003
Makin' Good Love,Avant,20,2002
Everybody Needs Love,Stephen Bishop,13,1978
Living Next Door To Alice,Smokie,16,1977
How Do You Like Me Now?!,Toby Keith,20,2000
I'm Blue (The Gong-Gong Song),The Ikettes,12,1962
Moody Woman,Jerry Butler,10,1969
"Love Shoulda Brought You Home (From ""Boomerang"")",Toni Braxton,13,1993
Love Land,Charles Wright And The Watts 103rd Street Rhythm Band,17,1970
For You,Kenny Lattimore,20,1997
It Happens,Sugarland,20,2009
Oh! Darling,Robin Gibb,12,1978
I'd Give Anything,Gerald Levert,20,1994
Live And Let Die,Guns N' Roses,14,1992
Give It To Me,The J. Geils Band,16,1973
Mary Jane's Last Dance,Tom Petty And The Heartbreakers,19,1994
Inside Out,Eve 6,10,1999
Love Galore,SZA Featuring Travis Scott,20,2017
I Want Candy,The Strangeloves,10,1965
Don't You Worry,Don Gardner And Dee Dee Ford,7,1962
Don't,Bryson Tiller,23,2016
Doo Wop (That Thing),Lauryn Hill,7,1998
"Doubleback (From ""Back To The Future Part III"")",ZZ Top,11,1990
"Down 4 Whateva (From ""A Low Down Dirty Shame"")",Nuttin' Nyce,4,1995
Heartless,Kanye West,6,2008
Girlfriend,Avril Lavigne,24,2007
New Divide,Linkin Park,20,2009
Loser Like Me,Glee Cast,3,2011
Never Again,Kelly Clarkson,16,2007
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,26,2011
Hey Jude,The Beatles,16,1968
One Night Stand,The Magic Lanterns,6,1971
Loveeeeeee Song,Rihanna Featuring Future,20,2013
Merry Go 'round,Kacey Musgraves,14,2013
Just One More Time,The Headpins,2,1983
I Can't Tell You Why,Brownstone,13,1995
Heart Be Still,Lorraine Ellison,2,1967
Epiphany (I'm Leaving),Chrisette Michele,3,2009
Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common,17,2002
I Got Stripes,Johnny Cash,11,1959
Oh! Baby (We Got A Good Thing Goin'),Barbara Lynn,8,1964
Indian Love Call,Ray Stevens,5,1975
Live Your Life Before You Die,The Pointer Sisters,5,1975
If You're Going Through Hell (Before The Devil Even Knows),Rodney Atkins,20,2006
I'm Confessin' (That I Love You),Frank Ifield,7,1963
Morning Much Better,Ten Wheel Drive With Genya Ravan,7,1970
Lonely Winds,The Drifters,9,1960
Free Yourself,Fantasia,20,2005
Everything To Me,Monica,18,2010
I'm On A Boat,The Lonely Island Featuring T-Pain,20,2009
It's Hard To Get Along,Joe Simon,3,1969
Nickel Song,The New Seekers featuring Eve Graham,5,1971
Heart On My Sleeve,Bryan Ferry,3,1976
I'm Not Satisfied,Fine Young Cannibals,3,1990
Living For The Night,George Strait,17,2009
Life And Death In G&A,Love Childs Afro Cuban Blues Band,3,1975
Imagination,Belouis Some,5,1985
Michelle,Billy Vaughn And His Orchestra,6,1966
Let's Go,Floyd Cramer,2,1962
Faster,Matt Nathanson,12,2011
Good Time Girl,Nancy Sinatra,5,1968
Mexican Drummer Man,Herb Alpert's Tijuana Brass,5,1964
Mill Valley,Miss Abrams And The Strawberry Point School Third Grade Class,3,1970
Holiday,Nazareth,3,1980
Let's Go Trippin',Dick Dale and The Del-Tones,6,1961
Magic,Future Featuring T.I.,9,2012
Gas Lamps And Clay,Blues Image,4,1970
Keep It Confidential,Nona Hendryx,3,1983
Fire,Subway,4,1995
Gotta Go,Trey Songz,5,2005
"Love, Reign O'er Me",The Who,5,1973
I Don't Want To Make You Wait,The Delfonics,4,1973
"River Deep, Mountain High",Glee Cast,1,2010
Shadow Days,John Mayer,3,2012
Tattoo,Jordin Sparks,12,2007
Soldier Of Love,Sade,11,2010
Sweet Caroline (Good Times Never Seemed So Good),Neil Diamond,14,1969
Dangerous,Roxette,18,1990
Summer,War,16,1976
Straight Up,Paula Abdul,20,1989
Puppet On A String,Elvis Presley With The Jordanaires,3,1966
Point Of No Return,Expose,17,1987
Suge,DaBaby,11,2019
"Rock On (From ""Dream A Little Dream"")",Michael Damian,21,1989
Danger Zone,Kenny Loggins,21,1986
Step By Step,The Crests,15,1960
September,"Earth, Wind & Fire",10,1979
Are You Ready?,Pacific Gas And Electric,12,1970
Shut Up And Drive,Rihanna,20,2007
A Little Bit Of Heaven,Ronnie Dove,10,1965
All Over The World,Electric Light Orchestra,16,1980
Crazy,Seal,19,1991
Telefone (long Distance Love Affair),Sheena Easton,20,1983
Radio Ga-ga,Queen,13,1984
Don't Tell Me Lies,Breathe,16,1989
"Surrender To Me (From ""Tequila Sunrise"")",Ann Wilson & Robin Zander,17,1989
Birthday,Katy Perry,18,2014
Rock Wit'cha,Bobby Brown,19,1989
Real Love,Mary J. Blige,18,1992
Rich Girl,Gwen Stefani Featuring Eve,26,2005
"Anything (From ""Above The Rim"")",SWV,20,1994
Desafinado,Stan Getz/Charlie Byrd,14,1962
American Heartbeat,Survivor,14,1982
Do You Believe In Love,Huey Lewis & The News,17,1982
Shake That,Eminem Featuring Nate Dogg,19,2006
"Circle Of Life (From ""The Lion King"")",Elton John,19,1994
Please Come To Boston,Dave Loggins,18,1974
Breaking Us In Two,Joe Jackson,16,1983
For A Dancer,Prelude,5,1975
Last Train Home,Lostprophets,6,2004
Just Can't Wait,The J. Geils Band,5,1980
Fat Boy,Max-A-Million,20,1995
Jambalaya,Bobby Comstock And The Counts,4,1960
My Sh*t,A Boogie Wit da Hoodie,9,2016
Long Road To Ruin,Foo Fighters,12,2008
Leflaur Leflah Eshkushka,Heltah Skeltah And O.G.C. As The Fab 5,8,1996
Just A Little Bit,Blue Cheer,4,1968
Miss Broadway,Belle Epoque,4,1978
Let It All Blow,Dazz Band,5,1984
Love Is Life,"Earth, Wind & Fire",5,1971
I Can't Unlove You,Kenny Rogers,5,2006
How Can You Love Me,Ambrosia,4,1982
Foolish Heart,Sharon Bryant,2,1990
No Pressure,Justin Bieber Featuring Big Sean,4,2015
Kick Push,Lupe Fiasco,5,2006
Honestly,Cartel,5,2007
Nevermind,Dennis Lloyd,4,2018
Never Say Never,Justin Bieber Featuring Jaden Smith,5,2010
If I Had The Chance,Cynthia,7,1998
Halfway Gone,Lifehouse,19,2010
Feed The Tree,Belly (rock),4,1993
Home Bound,Ted Nugent,4,1978
Living It Down,Freddy Fender,4,1976
I Cannot Believe It's True,Phil Collins,4,1983
Nightgown,Candyman,4,1991
Happy?,Mudvayne,4,2005
My Baby Mama,QT,4,1997
Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,4,2017
Forever More,Stevie B,4,1991
Livin' La Vida Loca,Ricky Martin,20,1999
Do You Like This,Rome,20,1997
Symptoms Of True Love,Tracie Spencer,14,1988
Pop A Top,Alan Jackson,10,2000
Sugar Don't Bite,Sam Harris,14,1984
Baby I'm Back,Baby Bash Featuring Akon,25,2005
Dazzey Duks,Duice,40,1993
Please Don't Go,No Mercy,18,1997
Behind Blue Eyes,The Who,3,1972
Take Over Control,Afrojack Featuring Eva Simons,20,2011
Danger,Blahzay Blahzay,13,1995
Shake,Sam Cooke,11,1965
Raw-Hide,Link Wray And The Wraymen,13,1959
At Midnight (My Love Will Lift You Up),Rufus Featuring Chaka Khan,12,1977
Don't Look Down - The Sequel,Go West,13,1987
So Long Dixie,"Blood, Sweat & Tears",11,1972
Close To You,Fun Factory,20,1995
The Fighter,Gym Class Heroes Featuring Ryan Tedder,15,2012
Summer Set,Monty Kelly And His Orchestra,11,1960
Do What You Wanna Do,T-Connection,17,1977
Black Cars,Gino Vannelli,16,1985
Chillin' It,Cole Swindell,11,2014
(I Don't Want To Love You But) You Got Me Anyway,Sutherland Brothers And Quiver,12,1973
Banjo,Rascal Flatts,17,2012
Call On Me,Janet & Nelly,18,2006
Soulja Girl,Soulja Boy Tell'em Featuring I-15,11,2007
Best Friend,Young Thug,17,2016
Carlene,Phil Vassar,20,2000
Another Dumb Blonde,Hoku,14,2000
Desperately,George Strait,14,2004
Ain't Love A Bitch,Rod Stewart,12,1979
Any Way That You Want Me,Evie Sands,17,1969
Commas,Future,20,2015
The Bomb! (These Sounds Fall Into My Mind),The Bucketheads,18,1995
Star Of The Show,Thomas Rhett,12,2017
Do Your Thing,7 Mile,19,1998
(Marie's The Name) His Latest Flame,Elvis Presley,11,1961
Mary's Prayer,Danny Wilson,20,1987
Eighteen With A Bullet,Pete Wingfield,19,1975
No More Lies,Michel'le,22,1990
Next To Me,Emeli Sande,20,2013
On Broadway,The Drifters,10,1963
Fly Away,John Denver,8,1976
I'll Be There For You/This House Is Not A Home,The Rembrandts,14,1995
Midnight Rocks,Al Stewart,13,1980
Look At Me!,XXXTentacion,20,2017
"Mixed-Up, Shook-Up, Girl",Patty & The Emblems,11,1964
Jesus Is Just Alright,The Doobie Brothers,8,1973
In My Eyes,Stevie B,17,1989
Me Love,Sean Kingston,17,2007
"Mercy, Mercy",Don Covay & The Goodtimers,10,1964
I Don't Wanna Be In Love (Dance Floor Anthem),Good Charlotte,15,2007
For Tonight,Nancy Martinez,13,1986
Marie,The Bachelors,10,1965
Fun,Pitbull Featuring Chris Brown,15,2015
Mr. Lucky,Henry Mancini,13,1960
Hearts On Fire,Bryan Adams,13,1987
Gangsta Luv,Snoop Dogg Featuring The-Dream,11,2010
I Belong To You/How Many Ways,Toni Braxton,14,1994
Hey Leonardo (She Likes Me For Me),Blessid Union Of Souls,20,1999
It's Over Now,112,16,2001
"How High (From ""The Show"")",Redman/Method Man,15,1995
Eleanor Rigby,Ray Charles,10,1968
Forever,Kenny Loggins,22,1985
Envy Me,Calboy,25,2019
Let's Be Us Again,Lonestar,20,2004
I Really Don't Need No Light,Jeffrey Osborne,15,1982
It Must Be Love,Madness,12,1983
Here's Your Sign (Get The Picture),Bill Engvall With Special Guest Travis Tritt,20,1997
Just Like Heaven,The Cure,12,1987
If You Know What I Mean,Neil Diamond,12,1976
Haven't Got Time For The Pain,Carly Simon,12,1974
I Lived,OneRepublic,14,2015
If You Only Knew,Shinedown,13,2010
Lie To Me,Brook Benton,10,1962
Kiss This,Aaron Tippin,19,2000
I Think We're Alone Now,The Rubinoos,12,1977
Oh Honey,Delegation,12,1979
Feelin' On Yo Booty,R. Kelly,19,2001
Flood,Jars Of Clay,19,1996
I'll Be Around,Rappin' 4-Tay Featuring The Spinners,16,1995
Heaven's What I Feel,Gloria Estefan,20,1998
Girlfriend,Bow Wow & Omarion,8,2008
Groovy Train,The Farm,14,1991
Love Bones,Johnnie Taylor,8,1970
Just Too Many People,Melissa Manchester,12,1975
No One,Connie Francis,8,1961
Just A Little Bit Of You,Michael Jackson,12,1975
Killer Joe,The Rocky Fellers,13,1963
Hanginaround,Counting Crows,8,1999
Heard 'Em Say,Kanye West Featuring Adam Levine,10,2005
"Mama, I'm Coming Home",Ozzy Osbourne,17,1992
Hitch It To The Horse,The Fantastic Johnny C,9,1968
I Wanna Talk About Me,Toby Keith,12,2001
Go Down Gamblin',"Blood, Sweat & Tears",8,1971
Love Me All Up,Stacy Earl,7,1991
Gloria,Enchantment,13,1977
Got To Be Real,Cheryl Lynn,13,1979
Morning Dance,Spyro Gyra,15,1979
Love Is On The Way,Saigon Kick,17,1992
Heartbeat Song,Kelly Clarkson,20,2015
Island Of Lost Souls,Blondie,10,1982
Easy Loving,Freddie Hart,17,1971
Indestructible,Four Tops,11,1988
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,20,2012
"Hey, Leroy, Your Mama's Callin' You",Jimmy Castor,8,1967
Gimme All Your Lovin,ZZ Top,12,1983
Fooling Yourself (The Angry Young Man),Styx,14,1978
Makin' It,David Naughton,24,1979
I Like It,Dino,25,1989
I'll Always Love You,Taylor Dayne,30,1988
He'll Never Love You (Like I Do),Freddie Jackson,12,1986
No Time For Talk,Christopher Cross,10,1983
In The Mood,Robert Plant,7,1983
Invisible Hands,Kim Carnes,12,1983
IDOL,BTS Featuring Nicki Minaj,3,2018
Little Drummer Boy,Pentatonix,2,2013
Ghost Town,Kanye West Featuring PARTYNEXTDOOR,2,2018
Lolly,Maejor Ali Featuring Juicy J & Justin Bieber,3,2013
I Don't Care,Fall Out Boy,14,2008
Half Of My Heart,John Mayer,2,2009
Fake Smile,Ariana Grande,2,2019
No Bystanders,Travis Scott,2,2018
I Get The Bag,Gucci Mane Featuring Migos,17,2017
I'd Lie For You (And That's The Truth),Meat Loaf,11,1995
Lovers And Friends,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,5,2004
Keanu Reeves,Logic,3,2019
Miss Me Blind,Culture Club,16,1984
Hallelujah,Panic! At The Disco,1,2015
"Money, Power & Respect",The Lox [Featuring DMX & Lil' Kim],20,1998
Everyday,Logic & Marshmello,13,2018
I'll Wait,Van Halen,14,1984
I'm Back,T.I.,15,2010
Fox On The Run,Sweet,7,1975
Hold Up My Heart,Brooke White,1,2009
Flip The Switch,Quavo Featuring Drake,1,2018
On The Rebound,Floyd Cramer,13,1961
I Still Haven't Found What I'm Looking For,U2,17,1987
My Life Would Suck Without You,Glee Cast,1,2009
Lonely Boy,Paul Anka,15,1959
Karma Chameleon,Culture Club,5,1983
Kiss,Prince And The Revolution,18,1986
Love Will Save The Day,Whitney Houston,16,1988
It's Only Love,Bryan Adams/Tina Turner,6,1985
Is This Love,Whitesnake,10,1987
Living In Danger,Ace Of Base,11,1994
Everything's Gonna Be Alright,Sweetbox,8,1998
I Love You,Billie Eilish,1,2019
I Get Weak,Belinda Carlisle,16,1988
Make Me Like You,Gwen Stefani,5,2016
I Just Wanna Live,Good Charlotte,8,2005
Errtime,Nelly Featuring Jung Tru & King Jacob,6,2005
I Really Don't Want To Know/There Goes My Everything,Elvis Presley,1,1970
I'm Still Standing,Elton John,16,1983
Every Day Is Exactly The Same,Nine Inch Nails,1,2006
I Just Fall In Love Again,Anne Murray,16,1979
It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent",9,2000
Mountains,Prince And The Revolution,11,1986
Mack The Knife,Bobby Darin,19,1959
One Broken Heart For Sale,Elvis Presley With The Mello Men,9,1963
Let 'em In,Wings,16,1976
Heart To Heart,Kenny Loggins,5,1982
I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,17,1987
Girls Just Want To Have Fun,Glee Cast,1,2011
Everything I Own,Bread,13,1972
Hot Girls In Love,Loverboy,16,1983
Is It Love,Mr. Mister,17,1986
Heartbreaker,Mariah Carey Featuring Jay-Z,17,1999
Genie In A Bottle,Christina Aguilera,25,1999
Hallelujah (Vancouver Winter 2010 Version),k.d. lang,1,2010
Hallelujah,Jordan Smith,1,2015
Just Because,Anita Baker,16,1989
Everytime,Ariana Grande,1,2018
Fool To Cry,The Rolling Stones,9,1976
Oh Why,The Teddy Bears,2,1959
Mother Nature's Wine,Sugarloaf,3,1971
I Don't Care (Just As Long As You Love Me),Buck Owens,3,1964
I'm Not A Fool Anymore,T.K. Hulin,2,1963
"It's A Mad, Mad, Mad, Mad World",The Shirelles,2,1963
I Caught Your Act,The Hues Corporation,2,1977
"Love Is Me, Love Is You",Connie Francis,6,1966
Little Boy,The Crystals,3,1964
Hands On The Radio,Henry Lee Summer,3,1988
First Love,Jennifer Lopez,3,2014
Love You More,Ginuwine,9,2003
How Deep Is The Ocean,Miss Toni Fisher,2,1960
Little Donna,The Rivieras,3,1964
Lonely Drifter,The O'Jays,3,1963
Face Drop,Sean Kingston,9,2009
"Family Affair (From ""Addams Family Values"")",Shabba Ranks Featuring Patra And Terri & Monica,2,1994
Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,6,2013
Stuck With You,Huey Lewis & The News,19,1986
Cold,Maroon 5 Featuring Future,20,2017
Blue Orchid,The White Stripes,7,2005
Deja Vu,Lauren Duski,1,2017
Deja Vu,Beyonce Featuring Jay Z,17,2006
19th Nervous Breakdown,The Rolling Stones,10,1966
American Woman/No Sugar Tonight,The Guess Who,15,1970
Barrel Of A Gun,Depeche Mode,5,1997
Otis,Jay Z Kanye West Featuring Otis Redding,20,2011
The Champion,Carrie Underwood Featuring Ludacris,3,2018
Pass That Dutch,Missy Elliott,11,2003
Astrothunder,Travis Scott,1,2018
A Song Of Joy (Himno A La Alegria),Miguel Rios,9,1970
An Innocent Man,Billy Joel,3,1983
Before You Walk Out Of My Life/Like This And Like That,Monica,11,1995
"All I Want (From ""GOOD Burger"")",702,12,1997
Best Of You,Foo Fighters,21,2005
"Shakedown (From ""Beverly Hills Cop II"")",Bob Seger,18,1987
Summer Girls,LFO,17,1999
Cowboys Are Frequently Secretly (Fond Of Each Other),Willie Nelson,1,2006
About This Thing Called Love,Fabian,7,1960
Baby Jane,Rod Stewart,14,1983
Candy Shop,50 Cent Featuring Olivia,23,2005
Coming Out Of The Dark,Gloria Estefan,19,1991
The All American Boy,Bill Parsons,2,1958
All I Do,Somethin' For The People,11,1998
Sexy Chick,David Guetta Featuring Akon,19,2009
Open Arms,Journey,18,1982
Say... If You Feel Alright,Crystal Waters,15,1997
Stay,Rihanna Featuring Mikky Ekko,32,2013
Crazy For This Girl,Evan And Jaron,9,2000
Police Dog Blues,Hugh Laurie,2,2011
Bottoms Up,Brantley Gilbert,25,2014
"Saving Forever For You (From ""Beverly Hills, 90210"")",Shanice,10,1992
After The Lovin',Engelbert Humperdinck,10,1976
So Far Away/Smackwater Jack,Carole King,10,1971
Rainy Dayz,Mary J. Blige Featuring Ja Rule,20,2002
"Apples, Peaches, Pumpkin Pie",Jay And The Techniques,17,1967
5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,12,2011
She's Lookin' Good,Wilson Pickett,10,1968
Reminiscing,Little River Band,20,1978
Shake You Down,Gregory Abbott,11,1986
"Ruby, Don't Take Your Love To Town",Kenny Rogers & The First Edition,13,1969
Delta Dawn,Helen Reddy,20,1973
Shake Ya Ass,Mystikal,20,2000
Devil Or Angel,Bobby Vee,19,1960
Say Goodbye,Chris Brown,19,2006
Remember Me,Diana Ross,9,1971
Billionaire,Travie McCoy Featuring Bruno Mars,27,2010
Caught Up In You,38 Special,17,1982
Cherry Bomb,John Mellencamp,10,1987
Star Wars (Main Title),London Symphony Orchestra,17,1977
Bobbie Sue,The Oak Ridge Boys,14,1982
Rocket 2 U,The Jets,22,1988
Dear One,Larry Finnegan,14,1962
Anticipation,Carly Simon,10,1972
Danger (Been So Long),Mystikal Featuring Nivea,17,2001
Daylight,Maroon 5,23,2013
Shower Me With Your Love,Surface,19,1989
"Don't Think Twice, It's All Right","Peter, Paul & Mary",10,1963
Didn't I (Blow Your Mind This Time),The Delfonics,14,1970
(You Were Made For) All My Love,Jackie Wilson,13,1960
Call Me/Son Of A Preacher Man,Aretha Franklin,12,1970
"Bad Case Of Loving You (Doctor, Doctor)",Robert Palmer,15,1979
Cherry Hill Park,Billy Joe Royal,13,1969
Take It To The Limit,Eagles,21,1976
Photograph,Def Leppard,17,1983
Are We Ourselves?,The Fixx,15,1984
I'll Take That As A Yes (The Hot Tub Song),Phil Vassar,5,2005
Losin Control,Russ,19,2017
Gilee,Sonny Spencer,4,1959
Makin' Love,Climax Blues Band,4,1978
I'd Rather Be Here In Your Arms,The Duprees,4,1963
Full Time Thing (Between Dusk And Dawn),Whirlwind,4,1976
Laid Back Love,Major Harris,4,1976
I Wanna Be Loved,Dean And Jean,5,1964
Me And Those Dreamin' Eyes Of Mine,D'Angelo,6,1996
I Wish,Jo Dee Messina,4,2004
Love Theme From Shogun (Mariko's Theme),Meco,4,1980
Mixed Personalities,YNW Melly Featuring Kanye West,18,2019
It's Not My Time,3 Doors Down,29,2008
Every Beat Of My Heart,Crown Heights Affair,4,1975
Make It With You,The Whispers,4,1977
I'm Bad,LL Cool J,4,1987
Long Black Train,Josh Turner,15,2004
Midnight Lace - Part I,Ray Conniff His Orchestra And Chorus,4,1960
Guess Who/Them Changes,B.B. King,11,1972
It's Goin' Down,Descendants 2 Cast,4,2017
I'll Search My Heart,Johnny Mathis,1,1964
Fire In The Sky,The Dirt Band,4,1981
Love Again,John Denver & Sylvie Vartan,4,1984
Englishman In New York,Sting,4,1988
Feel That You're Feelin',Maze Featuring Frankie Beverly,5,1979
Happy Anniversary,The Four Lads,5,1959
I'll Sleep When I'm Dead,Bon Jovi,4,1993
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,11,1965
Love In This Club,Usher Featuring Young Jeezy,25,2008
All She Wants Is,Duran Duran,11,1989
Smile,Lonestar,18,2000
Back When My Hair Was Short,Gunhill Road,15,1973
Dear Heart,Jack Jones,6,1965
911,Wyclef Jean Featuring Mary J. Blige,13,2000
"Sweet, Sweet Smile",Carpenters,13,1978
Shake,Ying Yang Twins Featuring Pitbull,18,2005
Rumor,Lee Brice,14,2019
The Arms Of Orion,Prince With Sheena Easton,11,1989
Ain't Nobody Home,B.B. King,5,1972
Perfect,Sara Evans,19,2004
A Girl Like You,The Smithereens,16,1990
